dataset,condition,reference,adaptive_aurc_mean,adaptive_aurc_std,reference_aurc_mean,aurc_reduction_mean,top10_accuracy_gain_mean,better_seed_count
CWRU,clean,confidence,0.06296753720159783,0.011325969933687596,0.06296753720159783,0.0,0.0,0
CWRU,clean,negative_entropy,0.06296753720159783,0.011325969933687596,0.062306155078762894,-0.0006613821228349364,0.0,0
CWRU,clean,probability_margin,0.06296753720159783,0.011325969933687596,0.06409775413080214,0.0011302169292042978,0.0,3
CWRU,clean,learned_evidence,0.06296753720159783,0.011325969933687596,0.10936859451125924,0.046401057309661396,0.008888888888888872,3
CWRU,snr_6,confidence,0.07111392409029023,0.012792151344592178,0.07111392409029023,0.0,0.0,0
CWRU,snr_6,negative_entropy,0.07111392409029023,0.012792151344592178,0.07000191946137936,-0.0011120046289108652,0.0,0
CWRU,snr_6,probability_margin,0.07111392409029023,0.012792151344592178,0.07239308093688986,0.0012791568465996342,0.0,3
CWRU,snr_6,learned_evidence,0.07111392409029023,0.012792151344592178,0.10162022653079571,0.030506302440505475,0.0,3
CWRU,snr_0,confidence,0.11590053673388777,0.03405895785701572,0.11590053673388777,0.0,0.0,0
CWRU,snr_0,negative_entropy,0.11590053673388777,0.03405895785701572,0.11451057555812673,-0.0013899611757610304,0.0,0
CWRU,snr_0,probability_margin,0.11590053673388777,0.03405895785701572,0.11808243425567373,0.0021818975217859685,0.0007407407407407826,3
CWRU,snr_0,learned_evidence,0.11590053673388777,0.03405895785701572,0.16885958852935348,0.052959051795465735,0.029629629629629634,3
CWRU,snr_-6,confidence,0.6689050769485769,0.1673542934384557,0.7462043755035991,0.07729929855502223,0.12074074074074072,3
CWRU,snr_-6,negative_entropy,0.6689050769485769,0.1673542934384557,0.7433673208877792,0.07446224393920235,0.11555555555555556,3
CWRU,snr_-6,probability_margin,0.6689050769485769,0.1673542934384557,0.748393267318631,0.0794881903700541,0.1259259259259259,3
CWRU,snr_-6,learned_evidence,0.6689050769485769,0.1673542934384557,0.6689050769485769,0.0,0.0,0
JNU,clean,confidence,0.0209236042967558,0.010516966240134044,0.0209236042967558,0.0,0.0,0
JNU,clean,negative_entropy,0.0209236042967558,0.010516966240134044,0.02095277551826727,2.9171221511467445e-05,0.0,2
JNU,clean,probability_margin,0.0209236042967558,0.010516966240134044,0.020957375405415868,3.3771108660066045e-05,0.0,1
JNU,clean,learned_evidence,0.0209236042967558,0.010516966240134044,0.023200992776501565,0.002277388479745766,0.0,2
JNU,snr_6,confidence,0.020223683585895835,0.00859205183754899,0.020223683585895835,0.0,0.0,0
JNU,snr_6,negative_entropy,0.020223683585895835,0.00859205183754899,0.020280702480897264,5.7018895001431876e-05,0.0,2
JNU,snr_6,probability_margin,0.020223683585895835,0.00859205183754899,0.020156007845998834,-6.76757398970004e-05,0.0,1
JNU,snr_6,learned_evidence,0.020223683585895835,0.00859205183754899,0.021932084818738536,0.0017084012328427,0.004166666666666652,2
JNU,snr_0,confidence,0.0654113823026172,0.02002584226169887,0.0654113823026172,0.0,0.0,0
JNU,snr_0,negative_entropy,0.0654113823026172,0.02002584226169887,0.06533957170648014,-7.18105961370688e-05,0.0,2
JNU,snr_0,probability_margin,0.0654113823026172,0.02002584226169887,0.06561352310708145,0.00020214080446423477,0.0,2
JNU,snr_0,learned_evidence,0.0654113823026172,0.02002584226169887,0.06683068835416964,0.0014193060515524335,0.012499999999999992,2
JNU,snr_-6,confidence,0.4140639018471702,0.02893072687401048,0.4081488134583009,-0.00591508838886932,-0.004166666666666652,2
JNU,snr_-6,negative_entropy,0.4140639018471702,0.02893072687401048,0.4046732700186395,-0.009390631828530727,-3.700743415417188e-17,1
JNU,snr_-6,probability_margin,0.4140639018471702,0.02893072687401048,0.4107066767854555,-0.003357225061714708,-0.002083333333333326,2
JNU,snr_-6,learned_evidence,0.4140639018471702,0.02893072687401048,0.4140639018471702,0.0,0.0,0
PADERBORN,clean,confidence,0.001738210290206,0.0015701819317004307,0.001738210290206,0.0,0.0,0
PADERBORN,clean,negative_entropy,0.001738210290206,0.0015701819317004307,0.0017464551537732,8.244863567199943e-06,0.0,2
PADERBORN,clean,probability_margin,0.001738210290206,0.0015701819317004307,0.0017377244085862668,-4.858816197333913e-07,0.0,1
PADERBORN,clean,learned_evidence,0.001738210290206,0.0015701819317004307,0.0017032250703223667,-3.4985219883633434e-05,0.0,2
PADERBORN,snr_6,confidence,0.004879864728687767,0.002105917234588805,0.004879864728687767,0.0,0.0,0
PADERBORN,snr_6,negative_entropy,0.004879864728687767,0.002105917234588805,0.004830404140828633,-4.94605878591332e-05,0.0,1
PADERBORN,snr_6,probability_margin,0.004879864728687767,0.002105917234588805,0.004899913200422533,2.0048471734766787e-05,0.0,2
PADERBORN,snr_6,learned_evidence,0.004879864728687767,0.002105917234588805,0.0046775922045322665,-0.00020227252415549999,0.0,1
PADERBORN,snr_0,confidence,0.013318922308867333,0.0031088663356179415,0.013318922308867333,0.0,0.0,0
PADERBORN,snr_0,negative_entropy,0.013318922308867333,0.0031088663356179415,0.013240645240966598,-7.827706790073351e-05,0.0,0
PADERBORN,snr_0,probability_margin,0.013318922308867333,0.0031088663356179415,0.013464045063953366,0.00014512275508603346,0.0,3
PADERBORN,snr_0,learned_evidence,0.013318922308867333,0.0031088663356179415,0.012001089124340168,-0.0013178331845271664,0.0,0
PADERBORN,snr_-6,confidence,0.20857413247088852,0.04295713648314929,0.24668627289690445,0.03811214042601594,0.07500000000000011,3
PADERBORN,snr_-6,negative_entropy,0.20857413247088852,0.04295713648314929,0.24062688533806575,0.03205275286717727,0.06666666666666672,2
PADERBORN,snr_-6,probability_margin,0.20857413247088852,0.04295713648314929,0.2522121750618971,0.0436380425910086,0.08611111111111114,3
PADERBORN,snr_-6,learned_evidence,0.20857413247088852,0.04295713648314929,0.20857413247088852,0.0,0.0,0
