dataset,condition,metric,baseline_mean,baseline_std,improved_mean,improved_std,delta_mean,delta_std,improved_seed_count
CWRU,clean,accuracy,0.7914814814814815,0.021874313628267722,0.800074074074074,0.027071312622002425,0.008592592592592596,0.014751159541504879,2
CWRU,clean,macro_f1,0.7767868204277866,0.024474295409379607,0.7886860266969729,0.028626169650919173,0.011899206269186391,0.01862858359285099,2
CWRU,snr_6,accuracy,0.7654814814814815,0.030654855481783802,0.7686666666666667,0.024456562652795718,0.0031851851851852167,0.007239580280219614,2
CWRU,snr_6,macro_f1,0.7463763859965488,0.03667776551949935,0.7514875346962508,0.027887768226744554,0.005111148699702084,0.009685599386400637,2
CWRU,snr_0,accuracy,0.7042222222222222,0.03191733148906282,0.7197037037037037,0.04306545883716982,0.015481481481481504,0.013306145119544846,3
CWRU,snr_0,macro_f1,0.6809526985756346,0.02445671039246529,0.7011624754781792,0.03925864440036941,0.020209776902544736,0.020283780651908896,2
CWRU,snr_-6,accuracy,0.21511111111111106,0.12115065613310347,0.22044444444444444,0.1191266573602532,0.005333333333333361,0.012185804329649021,1
CWRU,snr_-6,macro_f1,0.16555362175512425,0.13865138010481592,0.1725008274821037,0.14055037977403384,0.006947205726979475,0.01194651259605859,2
JNU,clean,accuracy,0.9175,0.025210055037623323,0.9160416666666666,0.025127280161874523,-0.0014583333333333393,0.0007216878364870488,0
JNU,clean,macro_f1,0.9174349302156646,0.02515609534214714,0.9159972236837167,0.02513480756846019,-0.0014377065319478577,0.0007677575992770539,0
JNU,snr_6,accuracy,0.9116666666666666,0.021554195260629308,0.9133333333333334,0.02100347193521428,0.001666666666666668,0.0007216878364870809,3
JNU,snr_6,macro_f1,0.9122215234053991,0.021159524983147417,0.9138898786597105,0.020630021481731056,0.0016683552543114526,0.0006526090415756074,3
JNU,snr_0,accuracy,0.8166666666666668,0.036882061470765615,0.8185416666666666,0.03748089791258124,0.0018749999999999971,0.0006249999999999867,3
JNU,snr_0,macro_f1,0.8175193585157269,0.03860090379749617,0.8194537590567785,0.03916904826846961,0.0019344005410515768,0.0005754413047638619,3
JNU,snr_-6,accuracy,0.4870833333333333,0.035970546400261046,0.488125,0.036276929652328656,0.0010416666666666814,0.0013010412496663674,2
JNU,snr_-6,macro_f1,0.47089999465508187,0.07556421397303073,0.4724086992829801,0.07493796976688576,0.0015087046278982978,0.001275303399171385,3
PADERBORN,clean,accuracy,0.9708333333333333,0.012444320435889963,0.9722222222222222,0.011676583087213234,0.001388888888888884,0.0012729376930432335,2
PADERBORN,clean,macro_f1,0.9705212761081842,0.012826098399842846,0.9719296159545658,0.012030143169281603,0.0014083398463816306,0.0012939204136020756,2
PADERBORN,snr_6,accuracy,0.9405555555555555,0.01768421560266341,0.9419444444444444,0.017166127283867096,0.001388888888888995,0.0012729376930433788,2
PADERBORN,snr_6,macro_f1,0.9392797752899457,0.018927045291170348,0.9407289679286134,0.01836191383007134,0.001449192638667866,0.001315469934523388,2
PADERBORN,snr_0,accuracy,0.9047222222222221,0.011314117696897946,0.9058333333333334,0.010929064207169966,0.0011111111111112109,0.00048112522432463515,3
PADERBORN,snr_0,macro_f1,0.9022634018998179,0.012656751303194599,0.9034167413238636,0.012218797500852802,0.0011533394240455703,0.0005573043096782653,3
PADERBORN,snr_-6,accuracy,0.6375000000000001,0.05137687547266119,0.6383333333333333,0.053313798505744345,0.0008333333333333156,0.0033333333333332993,2
PADERBORN,snr_-6,macro_f1,0.628148177676278,0.05913548572062916,0.6289194196288626,0.061291032388733596,0.0007712419525846004,0.0036879613933778824,2
